Occupation;Age;Subscriptions;Already went to karaoke;Lead Source;Total Visits;Total Time Spent on Website;Page Views Per Visit;Converted
Business;30-40;Spotify;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;5;674;2.5;0
Business;18-30;Netflix;Yes;Direct Traffic;2;1532;2;1
Business;30-40;None;Yes;Direct Traffic;1;305;1;0
Business;30-40;Netflix;Yes;Google;2;1428;1;1
;;;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Google;2;1640;2;1
;;;Yes;Facebook;0;0;0;0
;;;Yes;Direct Traffic;2;71;2;0
;;;Yes;Google;4;58;4;0
Business;30-40;Netflix;Yes;Google;8;1351;8;1
Business;30-40;;Yes;Direct Traffic;8;1343;2.67;1
Business;18-30;Netflix;Yes;Google;11;1538;11;1
Business;30-40;;Yes;Google;5;170;5;0
Business;30-40;;No;Direct Traffic;1;481;1;0
Business;30-40;Netflix;Yes;Google;6;1012;6;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;LaNoche.com;6;973;6;0
Business;30-40;;Yes;Google;6;1688;3;1
Business;30-40;None;Yes;Google;3;98;3;0
Business;30-40;None;Yes;Google;1;233;1;0
Business;18-30;None;Yes;Google;4;377;1.33;0
Business;18-30;Spotify;Yes;Google;1;1013;1;1
Business;30-40;None;Yes;Google;4;771;4;0
Business;18-30;Both;Yes;Google;6;1137;1.5;1
Business;30-40;None;Yes;Google;3;1068;3;1
Business;18-30;Spotify;Yes;Google;4;1000;2;1
Business;18-30;Both;Yes;Google;6;1315;6;1
Business;30-40;;Yes;Direct Traffic;5;182;5;0
Business;18-30;Both;Yes;Google;3;78;3;1
Business;30-40;Netflix;Yes;Direct Traffic;7;1174;3.5;1
Business;30-40;None;Yes;Google;3;88;1.5;0
Business;30-40;Spotify;Yes;LaNoche.com;4;223;2;0
;;;Yes;Google;3;74;1.5;0
Business;18-30;Netflix;Yes;Google;4;16;2;1
Business;18-30;Both;Yes;LaNoche.com;3;98;3;1
Business;30-40;Netflix;Yes;Google;4;1622;4;0
Law;18-30;Spotify;Yes;Google;5;563;5;1
Business;30-40;None;Yes;Google;2;310;2;0
Business;18-30;Both;Yes;Google;4;25;4;1
Business;30-40;;Yes;Direct Traffic;3;342;3;0
Business;40+;None;No;Google;7;38;7;0
Business;30-40;;Yes;Google;5;199;5;0
;;;Yes;Google;5;222;5;0
Business;30-40;;Yes;Direct Traffic;6;275;3;0
Business;30-40;Netflix;Yes;Google;4;287;2;0
Business;18-30;Both;Yes;Direct Traffic;2;547;2;0
;;;Yes;Facebook;0;0;0;0
Business;40+;None;Yes;Google;6;1225;6;0
;;;Yes;Facebook;0;0;0;0
Business;18-30;Spotify;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Google;5;160;5;0
Business;30-40;Netflix;Yes;Google;6;394;2;0
;;;Yes;Google;6;286;1.5;0
;;;Yes;Google;7;96;2.33;0
Business;30-40;;Yes;Google;2;12;2;0
Business;18-30;Spotify;Yes;LaNoche.com;13;436;13;1
Business;18-30;Both;Yes;LaNoche.com;8;903;8;1
